Index,Location,URL
1,    WEST RAPID STORAGE UNITS,https://www.westrapidstorage.com/
2,    'MATEO AVENUE MINI-STORAGE,https://www.rentcafe.com/storage/ca/south-san-francisco/mateo-avenue-mini-storage-1168-san-mateo-avenue/default.aspx
3,    'SHIELDS MOUNTAIN MINI STORAGE,https://www.facebook.com/ShieldsMtnStorage/
4,    'BERWICK SELF STORAGE AT 560 PORTLAND ST,https://www.extraspace.com/storage/facilities/us/maine/berwick/7684/
5,    'STORAGE ZONE SELF STORAGE AND BUSINESS CENTERS,https://mystoragezone.com/
6,    'East Longmeadow Self Storage,https://www.eastlongmeadowstorage.com/
7,    'Agate Road Mini Storage & Rv,https://www.sentrypark.com/all-locations
8,    'Park 150 Self Service Storage,https://www.park150.com/
9,    'STORAGE WORLD,https://www.hsw.com.au/
10,    'Mountain Mini Storage,https://www.mtnministorage.com/
11,    'Lufkin Climate Controlled Storage,https://freedomstoragemanagement.com/locations/tx/lufkin/lufkin-climate-controlled-self-storage/
12,    'PUBLIC STORAGE,https://www.publicstorage.com/
13,    'Lake Park Self Storage,https://www.lakeparkstorage.com/
14,    'Power Self Storage - Kuakini,https://www.safkeep.com/self-storage-locations/hawaii/kailua-kona-hi-storage-units/76-6201-walua-road/
15,    'Extra Space Storage,https://www.extraspace.com/
16,    'Devon Self Storage,https://www.devonselfstorage.com/
17,    'Tmg Storage Units,https://www.tmgindustrial.com/collections/storage
18,    'Comstor Self Storage  Russells Point,https://www.communitystorage.com/
19,    'HEIGHTS SELF STORAGE,https://www.theheightsselfstorage.com/
20,    'HIGHWAY 63 MINI STORAGE,https://www.hwy63ministorage.com/
